Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,LED,LED_0603_1608Metric_no_text,145.049731,-46.60863,45.0,top
D2,LED,LED_0603_1608Metric_no_text,147.149731,-46.60863,45.0,top
D3,LED,LED_0603_1608Metric_no_text,149.249731,-46.60863,45.0,top
D4,LED,LED_0603_1608Metric_no_text,151.349731,-46.60863,45.0,top
D5,LED,LED_0603_1608Metric_no_text,153.449731,-46.60863,45.0,top
D6,LED,LED_0603_1608Metric_no_text,155.549731,-46.60863,45.0,top
D7,LED,LED_0603_1608Metric_no_text,157.649731,-46.60863,45.0,top
D8,LED,LED_0603_1608Metric_no_text,159.749731,-46.60863,45.0,top
D9,LED,LED_0603_1608Metric_no_text,161.849731,-46.60863,45.0,top
D10,LED,LED_0603_1608Metric_no_text,163.949731,-46.60863,45.0,top
D11,LED,LED_0603_1608Metric_no_text,166.049731,-46.60863,45.0,top
D12,LED,LED_0603_1608Metric_no_text,168.149731,-46.60863,45.0,top
D13,LED,LED_0603_1608Metric_no_text,170.249731,-46.60863,45.0,top
D14,LED,LED_0603_1608Metric_no_text,172.349731,-46.60863,45.0,top
D15,LED,LED_0603_1608Metric_no_text,174.449731,-46.60863,45.0,top
D16,LED,LED_0603_1608Metric_no_text,176.549731,-46.60863,45.0,top
D17,LED,LED_0603_1608Metric_no_text,145.049731,-48.70863,45.0,top
D18,LED,LED_0603_1608Metric_no_text,147.149731,-48.70863,45.0,top
D19,LED,LED_0603_1608Metric_no_text,149.249731,-48.70863,45.0,top
D20,LED,LED_0603_1608Metric_no_text,151.349731,-48.70863,45.0,top
D21,LED,LED_0603_1608Metric_no_text,153.449731,-48.70863,45.0,top
D22,LED,LED_0603_1608Metric_no_text,155.549731,-48.70863,45.0,top
D23,LED,LED_0603_1608Metric_no_text,157.649731,-48.70863,45.0,top
D24,LED,LED_0603_1608Metric_no_text,159.749731,-48.70863,45.0,top
D25,LED,LED_0603_1608Metric_no_text,161.849731,-48.70863,45.0,top
D26,LED,LED_0603_1608Metric_no_text,163.949731,-48.70863,45.0,top
D27,LED,LED_0603_1608Metric_no_text,166.049731,-48.70863,45.0,top
D28,LED,LED_0603_1608Metric_no_text,168.149731,-48.70863,45.0,top
D29,LED,LED_0603_1608Metric_no_text,170.249731,-48.70863,45.0,top
D30,LED,LED_0603_1608Metric_no_text,172.349731,-48.70863,45.0,top
D31,LED,LED_0603_1608Metric_no_text,174.449731,-48.70863,45.0,top
D32,LED,LED_0603_1608Metric_no_text,176.549731,-48.70863,45.0,top
D33,LED,LED_0603_1608Metric_no_text,145.049731,-50.80863,45.0,top
